[2026-05-19T23:38:29.290Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.290Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.291Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.291Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.292Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.293Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.293Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.294Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.295Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.295Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.296Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.296Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.297Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.297Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.298Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.299Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.299Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.300Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
[2026-05-19T23:38:29.300Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.301Z DEBUG kvm_server] Sent relative mouse move to client: dx=2, dy=0
[2026-05-19T23:38:29.301Z DEBUG kvm_server] Sent relative mouse move to client: dx=0, dy=-1
[2026-05-19T23:38:29.302Z DEBUG kvm_server] Sent relative mouse move to client: dx=1, dy=0
